clone,cross
April17_2018_D8_Male4,F1
April29_2018_D8_MomPE2,F1
March20_2018_D8_23,F1
March20_2018_D8_3,F1
March20_2018_D8_38,F1
March20_2018_D8_8,F1
March20_2018_D8_27,F1
March20_2018_D8_34,F1
March20_2018_D8_44,F1
March20_2018_D8_Male1,F1
March20_2018_D8_Male2,F1
March20_2018_D8_Male3,F1
April17_2018_D8_Male1,F1
April29_2018_D8_MomPE1,F1
April29_2018_D8_MomPE4,F1
April29_2018_DBunk_MomPE3,F1
March_2018_D8_18030,F1
March15_2019_D8_MomPE3,F1
March15_2019_D8_MomPE5,F1
March20_2018_D8_11,F1
March20_2018_D8_13,F1
March20_2018_D8_15,F1
March20_2018_D8_21,F1
March20_2018_D8_25,F1
March20_2018_D8_39,F1
March20_2018_D8_41,F1
March20_2018_D8_45,F1
March20_2018_D8_5,F1
April17_2018_D8_Male5,F1
April29_2018_DBunk_MomPE5,F1
March20_2018_D8_2,F1
March20_2018_D8_28,F1
March20_2018_D8_4,F1
March20_2018_D8_14,F1
March20_2018_D8_29,F1
March20_2018_D8_35,F1
March20_2018_D8_7,F1
March20_2018_D8_9,F1
April17_2018_D8_Male2,F1
March20_2018_D8_12,F1
March20_2018_D8_22,F1
March20_2018_D8_31,F1
April29_2018_D8_MomPE3,F1
April29_2018_D8_MomPE5,F1
April29_2018_DBunk_Male3,F1
March20_2018_D8_17,F1
April17_2018_D8_Male3,F1
March20_2018_D8_30,F1
March20_2018_D8_36,F1
March15_2019_D8_MomPE11,F2
March15_2019_D8_MomPE14,F2
March15_2019_D8_MomPE8,F2
