FocalIndividual,FocalSC,ParentA,ParentASC,ParentB,ParentBSC
April29_2018_DBunk_Male5,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_1,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_12,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_13,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_15,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_17,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_20,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_28,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_30,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_5,J,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_9,J,April_2017_DBunk_6,L,unsampled,
April29_2018_DBunk_Male2,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
April29_2018_DBunk_MomPE1,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_11,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_14,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_16,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_19,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_29,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_32,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_33,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_36,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_4,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_7,I,April_2017_DBunk_6,L,Spring_2017_DBunk_122,OO
March20_2018_DBunk_24,AN,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_25,AN,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_3,OO,April_2017_DBunk_6,L,unsampled,
March20_2018_DBunk_35,OO,April_2017_DBunk_162,F,unsampled,
April29_2018_DBunk_Male1,OO,April_2017_DBunk_21,Y,unsampled,
March15_2019_DBunk_MomPE16,OO,April29_2018_DBunk_Male3,U,unsampled,
March20_2018_DBunk_27,OO,April_2017_DBunk_91,OO,unsampled,
