clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	LowReadDepth	Notes
April_2017_D8_103	89	18	1	1	A	D8	2017	24	0	0	female	pulex		
April_2017_D8_119	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
April_2017_D8_131	89	18	1	1	A	D8	2017	15	0	0	female	pulex		
April_2017_D8_132	89	18	1	1	A	D8	2017	20	0	0	female	pulex		
April_2017_D8_133	89	18	1	1	A	D8	2017	23	0	0	female	pulex		
April_2017_D8_135	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
April_2017_D8_136	89	18	1	1	A	D8	2017	15	0	0	female	pulex		
April_2017_D8_141	89	18	1	1	A	D8	2017	8	0	0	female	pulex		
April_2017_D8_142	89	18	1	1	A	D8	2017	9	0	0	female	pulex		
April_2017_D8_147	89	18	1	1	A	D8	2017	5	0	0	female	pulex		
April_2017_D8_150	89	18	1	1	A	D8	2017	17	0	0	female	pulex		
April_2017_D8_157	89	18	1	1	A	D8	2017	7	0	0	female	pulex		
April_2017_D8_167	89	18	1	1	A	D8	2017	13	0	0	female	pulex		
April_2017_D8_175	89	18	1	1	A	D8	2017	12	0	0	female	pulex		
April_2017_D8_179	89	18	1	1	A	D8	2017	7	0	0	female	pulex		
April_2017_D8_183	89	18	1	1	A	D8	2017	8	0	0	female	pulex		
April_2017_D8_191	89	18	1	1	A	D8	2017	28	0	0	female	pulex		
April_2017_D8_201	89	18	1	1	A	D8	2017	29	0	0	female	pulex		
April_2017_D8_202	89	18	1	1	A	D8	2017	10	0	0	female	pulex		
April_2017_D8_203	89	18	1	1	A	D8	2017	16	0	0	female	pulex		
April_2017_D8_205	89	18	1	1	A	D8	2017	11	0	0	female	pulex		
April_2017_D8_209	89	18	1	1	A	D8	2017	16	0	0	female	pulex		
April_2017_D8_211	89	18	1	1	A	D8	2017	15	0	0	female	pulex		
April_2017_D8_212	89	18	1	1	A	D8	2017	21	0	0	female	pulex		
April_2017_D8_213	89	18	1	1	A	D8	2017	37	0	0	female	pulex		
April_2017_D8_215	89	18	1	1	A	D8	2017	28	0	0	female	pulex		
April_2017_D8_223	89	18	1	1	A	D8	2017	6	0	0	female	pulex		
April_2017_D8_227	89	18	1	1	A	D8	2017	10	0	0	female	pulex		
April_2017_D8_230	89	18	1	1	A	D8	2017	7	0	0	female	pulex		
April_2017_D8_239	89	18	1	1	A	D8	2017	7	0	0	female	pulex		
April_2017_D8_248	89	18	1	1	A	D8	2017	11	0	0	female	pulex		
April_2017_D8_249	89	18	1	1	A	D8	2017	6	0	0	female	pulex		
April_2017_D8_251	89	18	1	1	A	D8	2017	11	0	0	female	pulex		
April_2017_D8_254	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
April_2017_D8_256	89	18	1	1	A	D8	2017	6	0	0	female	pulex		
April_2017_D8_285	89	18	1	1	A	D8	2017	14	0	0	female	pulex		
April_2017_D8_298	89	18	1	1	A	D8	2017	11	0	0	female	pulex		
April_2017_D8_304	89	18	1	1	A	D8	2017	8	0	0	female	pulex		
April_2017_D8_305	89	18	1	1	A	D8	2017	5	0	0	female	pulex		
April_2017_D8_338	89	18	1	1	A	D8	2017	5	0	0	female	pulex		
April_2017_D8_342	89	18	1	1	A	D8	2017	10	0	0	female	pulex		
April_2017_D8_349	89	18	1	1	A	D8	2017	16	0	0	female	pulex		
April_2017_D8_355	89	18	1	1	A	D8	2017	8	0	0	female	pulex		
April_2017_D8_359	89	18	1	1	A	D8	2017	6	0	0	female	pulex		
April_2017_D8_360	89	18	1	1	A	D8	2017	7	0	0	female	pulex		
April_2017_D8_373	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
April_2017_D8_399	89	18	1	1	A	D8	2017	10	0	0	female	pulex		
April_2017_D8_60	89	18	1	1	A	D8	2017	6	0	0	female	pulex		
April_2017_D8_65	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
April_2017_D8_73	89	18	1	1	A	D8	2017	14	0	0	female	pulex		
April_2017_D8_77	89	18	1	1	A	D8	2017	18	0	0	female	pulex		
