clone	superClone.size	superClone.index	superClone.sizeRank	SCnum	SC	population	year	medrd	Nonindependent	WildSequenced	Sex	Species	AxCF1Hybrid	LabGenerated	OneLiterPheno	LowReadDepth	PnPsAnalysis
Spring_2016_D8_8.25	90	18	1	1	A	D8	2016	6	0	0	female	pulex	0	0	0		
April_2017_D8_103	90	18	1	1	A	D8	2017	24	0	0	female	pulex	0	0	0		1
April_2017_D8_119	90	18	1	1	A	D8	2017	18	0	0	female	pulex	0	0	0		1
April_2017_D8_131	90	18	1	1	A	D8	2017	15	0	0	female	pulex	0	0	0		1
April_2017_D8_132	90	18	1	1	A	D8	2017	20	0	0	female	pulex	0	0	0		1
April_2017_D8_133	90	18	1	1	A	D8	2017	23	0	0	female	pulex	0	0	0		1
April_2017_D8_135	90	18	1	1	A	D8	2017	18	0	0	female	pulex	0	0	0		1
April_2017_D8_136	90	18	1	1	A	D8	2017	15	0	0	female	pulex	0	0	0		1
April_2017_D8_141	90	18	1	1	A	D8	2017	8	0	0	female	pulex	0	0	0		1
April_2017_D8_142	90	18	1	1	A	D8	2017	9	0	0	female	pulex	0	0	0		1
April_2017_D8_147	90	18	1	1	A	D8	2017	5	0	0	female	pulex	0	0	0		1
April_2017_D8_150	90	18	1	1	A	D8	2017	17	0	0	female	pulex	0	0	0		1
April_2017_D8_157	90	18	1	1	A	D8	2017	7	0	0	female	pulex	0	0	0		1
April_2017_D8_167	90	18	1	1	A	D8	2017	13	0	0	female	pulex	0	0	0		1
April_2017_D8_175	90	18	1	1	A	D8	2017	12	0	0	female	pulex	0	0	0		1
April_2017_D8_179	90	18	1	1	A	D8	2017	7	0	0	female	pulex	0	0	1		1
April_2017_D8_183	90	18	1	1	A	D8	2017	8	0	0	female	pulex	0	0	0		1
April_2017_D8_191	90	18	1	1	A	D8	2017	28	0	0	female	pulex	0	0	0		1
April_2017_D8_201	90	18	1	1	A	D8	2017	29	0	0	female	pulex	0	0	0		1
April_2017_D8_202	90	18	1	1	A	D8	2017	10	0	0	female	pulex	0	0	0		1
April_2017_D8_203	90	18	1	1	A	D8	2017	16	0	0	female	pulex	0	0	0		1
April_2017_D8_205	90	18	1	1	A	D8	2017	11	0	0	female	pulex	0	0	0		1
April_2017_D8_209	90	18	1	1	A	D8	2017	16	0	0	female	pulex	0	0	0		1
April_2017_D8_211	90	18	1	1	A	D8	2017	15	0	0	female	pulex	0	0	0		1
April_2017_D8_212	90	18	1	1	A	D8	2017	21	0	0	female	pulex	0	0	0		1
April_2017_D8_213	90	18	1	1	A	D8	2017	37	0	0	female	pulex	0	0	0		1
April_2017_D8_215	90	18	1	1	A	D8	2017	28	0	0	female	pulex	0	0	0		1
April_2017_D8_223	90	18	1	1	A	D8	2017	6	0	0	female	pulex	0	0	0		1
April_2017_D8_227	90	18	1	1	A	D8	2017	10	0	0	female	pulex	0	0	0		1
April_2017_D8_230	90	18	1	1	A	D8	2017	7	0	0	female	pulex	0	0	0		1
April_2017_D8_239	90	18	1	1	A	D8	2017	7	0	0	female	pulex	0	0	0		1
April_2017_D8_248	90	18	1	1	A	D8	2017	11	0	0	female	pulex	0	0	0		1
