af,MAC,pn,ps,SC,rep,sample.n,year
0,0,15163,18635,OO,1,8,17
0.142857142857143,2,157,294,OO,1,8,17
0.285714285714286,4,148,315,OO,1,8,17
0.416666666666667,5,29,51,OO,1,8,17
0.5,8,325,639,OO,1,8,17
0.0625,1,678,999,OO,1,8,17
0.25,4,433,915,OO,1,8,17
0.428571428571429,6,110,245,OO,1,8,17
0.166666666666667,2,29,56,OO,1,8,17
0.4375,7,316,713,OO,1,8,17
0.5,7,107,248,OO,1,8,17
0.5625,9,249,608,OO,1,8,17
0.1875,3,369,820,OO,1,8,17
0.0714285714285714,1,253,379,OO,1,8,17
0.357142857142857,5,127,264,OO,1,8,17
0.125,2,403,879,OO,1,8,17
0.1,1,4,9,OO,1,8,17
0.3125,5,333,722,OO,1,8,17
0.375,6,307,715,OO,1,8,17
0.625,10,190,510,OO,1,8,17
0.0833333333333333,1,58,67,OO,1,8,17
0.333333333333333,4,26,66,OO,1,8,17
0.583333333333333,7,18,44,OO,1,8,17
0.928571428571429,13,11,31,OO,1,8,17
0.875,14,56,105,OO,1,8,17
0.214285714285714,3,152,306,OO,1,8,17
0.25,3,33,55,OO,1,8,17
0.75,12,119,280,OO,1,8,17
0.857142857142857,12,20,30,OO,1,8,17
0.8125,13,78,145,OO,1,8,17
0.6875,11,167,321,OO,1,8,17
0.714285714285714,10,48,109,OO,1,8,17
0.785714285714286,11,29,68,OO,1,8,17
0.571428571428571,8,105,212,OO,1,8,17
0.642857142857143,9,67,130,OO,1,8,17
0.666666666666667,8,19,22,OO,1,8,17
0.833333333333333,10,3,12,OO,1,8,17
0.9375,15,42,68,OO,1,8,17
0.916666666666667,11,1,1,OO,1,8,17
0.7,7,1,2,OO,1,8,17
0.3,3,2,6,OO,1,8,17
0.75,9,9,20,OO,1,8,17
0.5,6,25,49,OO,1,8,17
0.6,6,2,3,OO,1,8,17
0.4,4,2,9,OO,1,8,17
0.5,5,1,9,OO,1,8,17
1,16,14,26,OO,1,8,17
1,14,5,9,OO,1,8,17
0.2,2,3,10,OO,1,8,17
0.125,1,0,2,OO,1,8,17
0.375,3,1,1,OO,1,8,17
0.25,2,1,1,OO,1,8,17
0.8,8,0,2,OO,1,8,17
0.9,9,0,1,OO,1,8,17
0,0,15860,19783,OO,1,8,18
0.285714285714286,4,216,438,OO,1,8,18
0.2,2,29,48,OO,1,8,18
0.166666666666667,2,69,142,OO,1,8,18
0.583333333333333,7,103,192,OO,1,8,18
0.5,7,267,630,OO,1,8,18
0.416666666666667,5,107,223,OO,1,8,18
0.142857142857143,2,175,421,OO,1,8,18
0.5,6,121,197,OO,1,8,18
0.571428571428571,8,221,586,OO,1,8,18
0.428571428571429,6,234,561,OO,1,8,18
0.1875,3,69,144,OO,1,8,18
0.214285714285714,3,146,351,OO,1,8,18
0.0714285714285714,1,276,495,OO,1,8,18
0.333333333333333,4,103,203,OO,1,8,18
0.375,6,59,111,OO,1,8,18
0.642857142857143,9,233,483,OO,1,8,18
0.25,3,85,155,OO,1,8,18
0.357142857142857,5,269,665,OO,1,8,18
0.5625,9,54,133,OO,1,8,18
0.666666666666667,8,100,134,OO,1,8,18
0.0833333333333333,1,119,187,OO,1,8,18
0.0625,1,110,168,OO,1,8,18
0.1,1,39,56,OO,1,8,18
0.6875,11,43,126,OO,1,8,18
0.5,8,72,164,OO,1,8,18
0.4375,7,75,220,OO,1,8,18
0.125,2,63,137,OO,1,8,18
0.4,4,45,57,OO,1,8,18
0.5,5,38,61,OO,1,8,18
0.3,3,28,52,OO,1,8,18
0.3125,5,69,167,OO,1,8,18
0.6,6,21,56,OO,1,8,18
0.625,10,53,154,OO,1,8,18
0.785714285714286,11,112,345,OO,1,8,18
0.714285714285714,10,188,343,OO,1,8,18
0.9,9,11,21,OO,1,8,18
0.8125,13,30,88,OO,1,8,18
0.75,9,72,108,OO,1,8,18
0.8,8,20,24,OO,1,8,18
0.857142857142857,12,168,326,OO,1,8,18
0.5,4,14,14,OO,1,8,18
0.25,4,49,112,OO,1,8,18
0.75,12,47,106,OO,1,8,18
0.916666666666667,11,38,41,OO,1,8,18
0.928571428571429,13,69,149,OO,1,8,18
0.875,14,41,55,OO,1,8,18
0.9375,15,17,51,OO,1,8,18
0.75,6,7,10,OO,1,8,18
0.7,7,29,48,OO,1,8,18
0.833333333333333,10,51,102,OO,1,8,18
0.375,3,13,18,OO,1,8,18
0.125,1,14,9,OO,1,8,18
0.625,5,9,12,OO,1,8,18
0.25,2,4,13,OO,1,8,18
1,14,173,339,OO,1,8,18
1,10,10,15,OO,1,8,18
1,16,45,91,OO,1,8,18
0.875,7,1,3,OO,1,8,18
0.25,1,0,1,OO,1,8,18
0.166666666666667,1,1,3,OO,1,8,18
1,12,33,75,OO,1,8,18
1,8,1,2,OO,1,8,18
1,6,2,2,OO,1,8,18
1,4,1,0,OO,1,8,18
0.75,3,1,0,OO,1,8,18
0.5,3,1,4,OO,1,8,18
0.833333333333333,5,2,2,OO,1,8,18
0.333333333333333,2,1,6,OO,1,8,18
0.666666666666667,4,2,0,OO,1,8,18
0,0,15523,18998,OO,10,8,17
0.1875,3,522,1070,OO,10,8,17
0.375,6,358,860,OO,10,8,17
0.5625,9,390,758,OO,10,8,17
0.285714285714286,4,77,164,OO,10,8,17
0.642857142857143,9,34,70,OO,10,8,17
0.4375,7,394,883,OO,10,8,17
0.571428571428571,8,51,102,OO,10,8,17
0.3125,5,373,855,OO,10,8,17
0.25,4,532,1204,OO,10,8,17
0.0625,1,531,1002,OO,10,8,17
0.625,10,191,452,OO,10,8,17
0.0714285714285714,1,74,132,OO,10,8,17
0.357142857142857,5,53,131,OO,10,8,17
0.785714285714286,11,13,37,OO,10,8,17
0.6875,11,149,388,OO,10,8,17
0.75,12,165,320,OO,10,8,17
0.214285714285714,3,92,155,OO,10,8,17
0.5,8,366,731,OO,10,8,17
0.714285714285714,10,27,46,OO,10,8,17
0.142857142857143,2,85,113,OO,10,8,17
0.5,7,60,119,OO,10,8,17
0.8125,13,122,248,OO,10,8,17
0.875,14,97,199,OO,10,8,17
0.857142857142857,12,10,22,OO,10,8,17
0.428571428571429,6,72,135,OO,10,8,17
0.5,6,7,13,OO,10,8,17
0.25,3,10,18,OO,10,8,17
0.166666666666667,2,13,21,OO,10,8,17
0.125,2,359,793,OO,10,8,17
0.1,1,0,2,OO,10,8,17
0.9375,15,26,55,OO,10,8,17
0.583333333333333,7,4,13,OO,10,8,17
0.416666666666667,5,8,11,OO,10,8,17
0.375,3,0,1,OO,10,8,17
0.333333333333333,4,5,13,OO,10,8,17
1,14,2,5,OO,10,8,17
0.928571428571429,13,2,12,OO,10,8,17
1,16,31,48,OO,10,8,17
0.0833333333333333,1,14,15,OO,10,8,17
0.2,2,1,1,OO,10,8,17
0.75,9,1,4,OO,10,8,17
0.4,4,1,1,OO,10,8,17
0.5,5,0,1,OO,10,8,17
0.666666666666667,8,1,6,OO,10,8,17
0.8,8,1,0,OO,10,8,17
0.5,4,0,1,OO,10,8,17
0.3,3,0,3,OO,10,8,17
0.916666666666667,11,1,1,OO,10,8,17
0.25,2,0,1,OO,10,8,17
0.833333333333333,10,0,3,OO,10,8,17
0.166666666666667,1,0,1,OO,10,8,17
0.7,7,0,1,OO,10,8,17
0,0,15755,19561,OO,10,8,18
0.125,2,235,608,OO,10,8,18
0.166666666666667,2,49,83,OO,10,8,18
0.142857142857143,2,107,221,OO,10,8,18
0.428571428571429,6,121,247,OO,10,8,18
0.25,4,167,384,OO,10,8,18
0.25,3,40,73,OO,10,8,18
0.285714285714286,4,66,157,OO,10,8,18
0.75,12,159,345,OO,10,8,18
0.214285714285714,3,105,169,OO,10,8,18
0.1875,3,157,431,OO,10,8,18
0.0714285714285714,1,181,306,OO,10,8,18
0.3125,5,155,409,OO,10,8,18
0.0625,1,393,695,OO,10,8,18
0.333333333333333,4,43,63,OO,10,8,18
0.0833333333333333,1,64,102,OO,10,8,18
0.875,14,138,319,OO,10,8,18
0.857142857142857,12,72,123,OO,10,8,18
0.6875,11,153,367,OO,10,8,18
0.75,9,26,64,OO,10,8,18
0.5625,9,245,543,OO,10,8,18
0.928571428571429,13,63,79,OO,10,8,18
0.714285714285714,10,73,155,OO,10,8,18
0.833333333333333,10,21,38,OO,10,8,18
0.571428571428571,8,128,235,OO,10,8,18
0.357142857142857,5,95,177,OO,10,8,18
0.916666666666667,11,18,34,OO,10,8,18
0.5,8,237,574,OO,10,8,18
0.625,10,272,685,OO,10,8,18
0.583333333333333,7,57,77,OO,10,8,18
0.6,6,11,22,OO,10,8,18
0.8125,13,161,332,OO,10,8,18
0.4375,7,206,501,OO,10,8,18
0.5,3,1,0,OO,10,8,18
0.9375,15,90,220,OO,10,8,18
0.375,6,202,454,OO,10,8,18
0.785714285714286,11,69,123,OO,10,8,18
0.5,7,109,217,OO,10,8,18
0.3,3,14,23,OO,10,8,18
0.642857142857143,9,96,232,OO,10,8,18
0.5,6,55,90,OO,10,8,18
0.4,4,12,17,OO,10,8,18
0.5,4,2,3,OO,10,8,18
0.5,5,17,29,OO,10,8,18
0.416666666666667,5,52,73,OO,10,8,18
0.2,2,16,20,OO,10,8,18
0.1,1,22,41,OO,10,8,18
0.7,7,11,20,OO,10,8,18
0.375,3,3,3,OO,10,8,18
0.666666666666667,8,42,66,OO,10,8,18
0.625,5,6,5,OO,10,8,18
0.8,8,14,11,OO,10,8,18
0.75,6,2,2,OO,10,8,18
1,14,42,65,OO,10,8,18
1,16,151,287,OO,10,8,18
0.25,2,1,3,OO,10,8,18
1,10,9,4,OO,10,8,18
1,12,19,27,OO,10,8,18
0.9,9,9,11,OO,10,8,18
0.125,1,3,7,OO,10,8,18
0.875,7,0,5,OO,10,8,18
0.666666666666667,4,1,0,OO,10,8,18
1,8,2,0,OO,10,8,18
0.333333333333333,2,1,0,OO,10,8,18
0.166666666666667,1,0,1,OO,10,8,18
0.75,3,1,0,OO,10,8,18
0.25,1,1,0,OO,10,8,18
0,0,15535,19155,OO,100,8,17
0.1875,3,484,1024,OO,100,8,17
0.25,4,488,1086,OO,100,8,17
0.4375,7,448,929,OO,100,8,17
0.214285714285714,3,60,144,OO,100,8,17
0.5625,9,353,690,OO,100,8,17
0.5,6,10,7,OO,100,8,17
0.428571428571429,6,59,103,OO,100,8,17
0.0625,1,558,916,OO,100,8,17
0.125,2,526,1157,OO,100,8,17
0.285714285714286,4,66,103,OO,100,8,17
0.375,6,314,738,OO,100,8,17
0.25,3,3,17,OO,100,8,17
0.8125,13,116,224,OO,100,8,17
0.6875,11,224,495,OO,100,8,17
0.714285714285714,10,10,49,OO,100,8,17
0.785714285714286,11,16,26,OO,100,8,17
0.75,12,129,310,OO,100,8,17
0.0833333333333333,1,11,21,OO,100,8,17
0.0714285714285714,1,118,126,OO,100,8,17
0.625,10,262,631,OO,100,8,17
0.666666666666667,8,1,4,OO,100,8,17
0.875,14,42,86,OO,100,8,17
0.357142857142857,5,68,110,OO,100,8,17
0.142857142857143,2,63,130,OO,100,8,17
0.3125,5,351,787,OO,100,8,17
0.5,8,296,692,OO,100,8,17
0.333333333333333,4,7,16,OO,100,8,17
0.5,7,52,97,OO,100,8,17
0.571428571428571,8,40,89,OO,100,8,17
0.642857142857143,9,35,68,OO,100,8,17
0.2,2,3,1,OO,100,8,17
0.857142857142857,12,8,16,OO,100,8,17
0.416666666666667,5,2,13,OO,100,8,17
0.166666666666667,2,12,25,OO,100,8,17
0.1,1,1,1,OO,100,8,17
0.9375,15,40,82,OO,100,8,17
0.928571428571429,13,6,5,OO,100,8,17
1,14,0,2,OO,100,8,17
0.75,9,2,4,OO,100,8,17
1,16,26,44,OO,100,8,17
0.583333333333333,7,1,8,OO,100,8,17
0.8,8,1,1,OO,100,8,17
0.5,5,1,1,OO,100,8,17
0.916666666666667,11,0,1,OO,100,8,17
0.833333333333333,10,0,1,OO,100,8,17
0.5,4,0,1,OO,100,8,17
0.7,7,0,1,OO,100,8,17
0.4,4,0,1,OO,100,8,17
0,0,16093,20127,OO,100,8,18
0.214285714285714,3,178,457,OO,100,8,18
0.166666666666667,2,96,149,OO,100,8,18
0.3,3,44,77,OO,100,8,18
0.571428571428571,8,163,399,OO,100,8,18
0.428571428571429,6,201,466,OO,100,8,18
0.142857142857143,2,99,277,OO,100,8,18
0.5,6,128,225,OO,100,8,18
0.0714285714285714,1,172,360,OO,100,8,18
0.4375,7,56,134,OO,100,8,18
0.5,5,54,70,OO,100,8,18
0.1875,3,71,112,OO,100,8,18
0.25,4,62,162,OO,100,8,18
0.25,3,135,246,OO,100,8,18
0.4,4,39,93,OO,100,8,18
0.416666666666667,5,123,211,OO,100,8,18
0.375,6,48,131,OO,100,8,18
0.5,7,226,521,OO,100,8,18
0.0833333333333333,1,96,189,OO,100,8,18
0.785714285714286,11,132,293,OO,100,8,18
0.8125,13,34,96,OO,100,8,18
0.583333333333333,7,93,207,OO,100,8,18
0.357142857142857,5,193,422,OO,100,8,18
0.625,10,52,121,OO,100,8,18
0.285714285714286,4,208,494,OO,100,8,18
0.642857142857143,9,185,428,OO,100,8,18
0.714285714285714,10,177,346,OO,100,8,18
0.7,7,36,78,OO,100,8,18
0.75,9,95,178,OO,100,8,18
0.75,12,44,72,OO,100,8,18
0.5,8,68,147,OO,100,8,18
0.0625,1,77,153,OO,100,8,18
0.5625,9,54,124,OO,100,8,18
0.6,6,48,86,OO,100,8,18
0.666666666666667,8,92,188,OO,100,8,18
0.6875,11,45,112,OO,100,8,18
0.1,1,32,56,OO,100,8,18
0.125,2,31,67,OO,100,8,18
0.2,2,46,92,OO,100,8,18
0.333333333333333,2,2,0,OO,100,8,18
0.8,8,32,54,OO,100,8,18
0.3125,5,44,140,OO,100,8,18
0.333333333333333,4,117,238,OO,100,8,18
0.625,5,14,25,OO,100,8,18
0.75,6,9,19,OO,100,8,18
0.375,3,16,27,OO,100,8,18
0.125,1,10,20,OO,100,8,18
0.857142857142857,12,128,266,OO,100,8,18
1,10,18,42,OO,100,8,18
1,8,7,10,OO,100,8,18
0.875,14,25,54,OO,100,8,18
0.833333333333333,10,48,110,OO,100,8,18
0.916666666666667,11,45,92,OO,100,8,18
0.928571428571429,13,103,241,OO,100,8,18
0.9,9,21,28,OO,100,8,18
