Clone,CheckDate_4,Status_4,Ephippia_4,Males_4,FemalesSlide_4,Moms_4,Notes_4
D8179,5/19/20,R,1,0,19,11,
D8179,5/19/20,R,0,0,17,12,
D8179,5/19/20,R,0,0,17,13,
D8179,5/19/20,R,0,0,12,21,
D8179,5/19/20,R,0,0,10,12,
D8179,5/19/20,R,2,0,15,14,
D8179,5/19/20,R,0,0,14,7,
D8179,5/19/20,R,1,0,15,11,
D8179,5/19/20,R,0,0,17,13,
D8179,5/19/20,R,0,3,9,13,
D8179,5/19/20,R,0,0,17,16,
D8179,5/19/20,R,0,0,18,14,
D8179,5/19/20,R,0,0,15,8,
D8179,5/19/20,R,0,0,13,7,
D8179,5/19/20,R,0,0,9,11,screened all small ind
D8179,5/19/20,R,0,0,6,17,screened all small ind
D8179,5/19/20,R,1,3,12,13,
D8179,5/19/20,R,0,0,14,12,
D8179,5/19/20,R,0,0,14,14,
D8179,5/19/20,R,0,0,11,25,
D8179,5/19/20,R,0,2,13,12,
D8179,5/19/20,R,0,0,16,12,
D8179,5/19/20,R,0,0,18,9,
D8179,5/19/20,R,0,2,12,15,screened all small ind
D8179,5/19/20,R,0,0,20,9,
D8179,5/19/20,R,0,0,18,10,
D8222,5/19/20,R,0,1,12,12,
D8222,5/19/20,R,0,0,18,11,
D8222,5/19/20,R,0,7,0,9,screened all small ind
D8222,5/19/20,R,0,0,13,9,
D8222,5/19/20,R,0,0,21,9,
D8222,5/19/20,R,1,5,15,2,
D8222,5/19/20,R,2,2,17,5,
D8222,5/19/20,R,0,1,14,10,
D8222,5/19/20,R,0,4,10,3,
D8222,5/19/20,R,0,3,8,7,
D8222,5/19/20,R,0,0,13,11,
D8222,5/19/20,R,0,1,11,15,
D8222,5/19/20,R,1,3,14,14,
D8222,5/19/20,R,0,3,9,12,
D8222,5/19/20,R,0,4,15,7,
D8222,5/19/20,R,1,7,9,2,
D8222,5/19/20,R,0,0,4,6,screened all small ind
D8222,5/19/20,R,1,3,11,10,
D8222,5/19/20,R,0,0,13,14,screened all small ind
D8222,5/19/20,R,0,6,11,14,
D8222,5/19/20,R,0,0,19,14,
D8222,5/19/20,R,0,0,11,12,
D8222,5/19/20,R,0,2,17,4,
D8222,5/19/20,R,0,2,16,5,
D8222,5/19/20,R,0,0,15,14,
D8222,5/19/20,R,0,1,17,4,
D8222,5/19/20,R,0,2,13,13,
D8222,5/19/20,R,0,0,16,8,
D8222,5/19/20,R,1,0,16,8,
D8349,5/19/20,R,0,0,9,18,screened all small ind
D8349,5/19/20,R,0,0,7,19,screened all small ind
D8349,5/19/20,R,0,1,13,21,
D8349,5/19/20,R,0,0,15,19,
D8349,5/19/20,R,0,0,15,10,
D8349,5/19/20,R,0,0,12,24,
D8349,5/19/20,R,0,0,15,15,
D8349,5/19/20,R,0,0,14,13,
D8349,5/19/20,R,0,0,7,14,screened all small ind
D8349,5/19/20,R,0,0,12,15,screened all small ind
D8349,5/19/20,R,0,3,9,14,
D8349,5/19/20,R,0,0,14,8,
D8349,5/19/20,R,0,2,11,17,
D8349,5/19/20,R,0,0,14,12,
D8349,5/19/20,R,0,0,10,17,screened all small ind
D8349,5/19/20,R,0,0,12,20,screened all small ind
D8349,5/19/20,R,0,0,7,21,screened all small ind
D8349,5/19/20,R,0,0,11,16,
D8349,5/19/20,R,0,0,14,16,
D8349,5/19/20,R,0,0,16,13,
D8349,5/19/20,R,0,0,8,17,screened all small ind
D8349,5/19/20,R,2,0,10,19,
D8515,5/19/20,R,0,0,6,14,screened all small ind
D8515,5/19/20,R,0,0,15,4,
D8515,5/19/20,R,0,0,16,13,
D8515,5/19/20,R,0,1,8,17,screened all small ind
D8515,5/19/20,R,0,0,14,11,
D8515,5/19/20,R,0,4,11,12,
D8515,5/19/20,R,0,0,17,7,
D8515,5/19/20,R,0,0,7,12,screened all small ind
D8515,5/19/20,R,0,0,11,13,screened all small ind
D8515,5/19/20,R,0,1,16,12,
D8515,5/19/20,R,0,8,8,8,pair copulating
D8515,5/19/20,R,0,0,10,7,screened all small ind
D8515,5/19/20,R,0,1,4,7,screened all small ind
D8515,5/19/20,R,0,1,2,15,screened all small ind
D8515,5/19/20,R,0,0,15,11,
D8515,5/19/20,R,0,2,13,9,
D8515,5/19/20,R,1,1,13,17,"1 ephippia was empty, did not collect"
D8515,5/19/20,R,0,0,17,16,
D8515,5/19/20,R,0,3,15,16,1 epp in mom
D8515,5/19/20,R,0,1,13,5,
D8515,5/19/20,R,0,0,16,11,
D8515,5/19/20,R,0,0,8,12,screened all small ind
D8515,5/19/20,R,0,0,15,14,screened all small ind
D8515,5/19/20,R,0,0,11,13,screened all small ind
D8222,5/19/20,Y,0,0,9,21,screened all small ind
D8349,5/19/20,Y,0,0,1,24,screened all small ind
D8349,5/19/20,Y,0,0,1,8,screened all small ind
D8349,5/19/20,Y,0,0,3,18,screened all small ind
D8515,5/19/20,Y,0,0,10,14,screened all small ind
