Clone,NCBISampAccession,SC,population,year,month,medrd,WildSequenced,Sex,Species,AxCF1Hybrid,LabGenerated,OneLiterPheno,LowReadDepth
2018_Pulicaria_Pond21_22,SAMN18940763,P,Pond21,2018,April,12,0,female,pulicaria,0,0,0,0
2018_Pulicaria_Pond22_21,SAMN18940764,P,Pond22,2018,April,13,0,female,pulicaria,0,0,0,0
2018_Pulicaria_Pond22_53,SAMN18940765,P,Pond22,2018,April,14,0,female,pulicaria,0,0,0,0
2018_Pulicaria_Pond22_62,SAMN18940766,P,Pond22,2018,April,23,0,female,pulicaria,0,0,0,0
2018_Pulicaria_Pond22_72,SAMN18940767,P,Pond22,2018,April,14,0,female,pulicaria,0,0,0,0
April_2017_D8_101,SAMN19067418,R,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_103,SAMN19067419,A,D8,2017,April,24,0,female,pulex,0,0,0,0
April_2017_D8_119,SAMN19067420,A,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_125,SAMN19067421,C,D8,2017,April,21,0,female,pulex,0,0,0,0
April_2017_D8_130,SAMN19067422,C,D8,2017,April,14,0,female,pulex,0,0,0,0
April_2017_D8_131,SAMN19067423,A,D8,2017,April,15,0,female,pulex,0,0,0,0
April_2017_D8_132,SAMN19067424,A,D8,2017,April,20,0,female,pulex,0,0,0,0
April_2017_D8_133,SAMN19067425,A,D8,2017,April,23,0,female,pulex,0,0,0,0
April_2017_D8_134,SAMN19067426,OO,D8,2017,April,19,0,female,pulex,0,0,0,0
April_2017_D8_135,SAMN19067427,A,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_136,SAMN19067428,A,D8,2017,April,15,0,female,pulex,0,0,0,0
April_2017_D8_137,SAMN19067429,OO,D8,2017,April,16,0,female,pulex,0,0,0,0
April_2017_D8_141,SAMN19067430,A,D8,2017,April,8,0,female,pulex,0,0,0,0
April_2017_D8_142,SAMN19067431,A,D8,2017,April,9,0,female,pulex,0,0,0,0
April_2017_D8_143,SAMN19067432,C,D8,2017,April,21,0,female,pulex,0,0,0,0
April_2017_D8_147,SAMN19067433,A,D8,2017,April,5,0,female,pulex,0,0,0,0
April_2017_D8_150,SAMN19067434,A,D8,2017,April,17,0,female,pulex,0,0,0,0
April_2017_D8_151,SAMN19067435,C,D8,2017,April,35,0,female,pulex,0,0,0,0
April_2017_D8_157,SAMN19067436,A,D8,2017,April,7,0,female,pulex,0,0,0,0
April_2017_D8_165,SAMN19067437,C,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_167,SAMN19067438,A,D8,2017,April,13,0,female,pulex,0,0,0,0
April_2017_D8_17,SAMN19067439,C,D8,2017,April,15,0,female,pulex,0,0,0,0
April_2017_D8_175,SAMN19067440,A,D8,2017,April,12,0,female,pulex,0,0,0,0
April_2017_D8_179,SAMN19067441,A,D8,2017,April,7,0,female,pulex,0,0,1,0
April_2017_D8_18,SAMN19067442,C,D8,2017,April,21,0,female,pulex,0,0,0,0
April_2017_D8_183,SAMN19067443,A,D8,2017,April,8,0,female,pulex,0,0,0,0
April_2017_D8_191,SAMN19067444,A,D8,2017,April,28,0,female,pulex,0,0,0,0
April_2017_D8_201,SAMN19067445,A,D8,2017,April,29,0,female,pulex,0,0,0,0
April_2017_D8_202,SAMN19067446,A,D8,2017,April,10,0,female,pulex,0,0,0,0
April_2017_D8_203,SAMN19067447,A,D8,2017,April,16,0,female,pulex,0,0,0,0
April_2017_D8_205,SAMN19067448,A,D8,2017,April,11,0,female,pulex,0,0,0,0
April_2017_D8_209,SAMN19067449,A,D8,2017,April,16,0,female,pulex,0,0,0,0
April_2017_D8_210,SAMN19067450,C,D8,2017,April,13,0,female,pulex,0,0,0,0
April_2017_D8_211,SAMN19067451,A,D8,2017,April,15,0,female,pulex,0,0,0,0
April_2017_D8_212,SAMN19067452,A,D8,2017,April,21,0,female,pulex,0,0,0,0
April_2017_D8_213,SAMN19067453,A,D8,2017,April,37,0,female,pulex,0,0,0,0
April_2017_D8_214,SAMN19067454,roC,D8,2017,April,12,0,female,pulex,0,0,0,0
April_2017_D8_215,SAMN19067455,A,D8,2017,April,28,0,female,pulex,0,0,0,0
April_2017_D8_222,SAMN19067456,C,D8,2017,April,22,0,female,pulex,0,0,1,0
April_2017_D8_223,SAMN19067457,A,D8,2017,April,6,0,female,pulex,0,0,0,0
April_2017_D8_227,SAMN19067458,A,D8,2017,April,10,0,female,pulex,0,0,0,0
April_2017_D8_230,SAMN19067459,A,D8,2017,April,7,0,female,pulex,0,0,0,0
April_2017_D8_239,SAMN19067460,A,D8,2017,April,7,0,female,pulex,0,0,0,0
April_2017_D8_248,SAMN19067461,A,D8,2017,April,11,0,female,pulex,0,0,0,0
April_2017_D8_249,SAMN19067462,A,D8,2017,April,6,0,female,pulex,0,0,0,0
April_2017_D8_251,SAMN19067463,A,D8,2017,April,11,0,female,pulex,0,0,0,0
April_2017_D8_254,SAMN19067464,A,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_256,SAMN19067465,A,D8,2017,April,6,0,female,pulex,0,0,0,0
April_2017_D8_27,SAMN19067466,C,D8,2017,April,17,0,female,pulex,0,0,0,0
April_2017_D8_285,SAMN19067467,A,D8,2017,April,14,0,female,pulex,0,0,0,0
April_2017_D8_298,SAMN19067468,A,D8,2017,April,11,0,female,pulex,0,0,0,0
April_2017_D8_304,SAMN19067469,A,D8,2017,April,8,0,female,pulex,0,0,0,0
April_2017_D8_305,SAMN19067470,A,D8,2017,April,5,0,female,pulex,0,0,0,0
April_2017_D8_32,SAMN19067471,C,D8,2017,April,16,0,female,pulex,0,0,0,0
April_2017_D8_326,SAMN19067472,C,D8,2017,April,15,0,female,pulex,0,0,0,0
April_2017_D8_338,SAMN19067473,A,D8,2017,April,5,0,female,pulex,0,0,0,0
April_2017_D8_342,SAMN19067474,A,D8,2017,April,10,0,female,pulex,0,0,0,0
April_2017_D8_349,SAMN19067475,A,D8,2017,April,16,0,female,pulex,0,0,1,0
April_2017_D8_355,SAMN19067476,A,D8,2017,April,8,0,female,pulex,0,0,0,0
April_2017_D8_359,SAMN19067477,A,D8,2017,April,6,0,female,pulex,0,0,0,0
April_2017_D8_360,SAMN19067478,A,D8,2017,April,7,0,female,pulex,0,0,0,0
April_2017_D8_373,SAMN19067479,A,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_399,SAMN19067480,A,D8,2017,April,10,0,female,pulex,0,0,0,0
April_2017_D8_47,SAMN19067481,C,D8,2017,April,12,0,female,pulex,0,0,0,0
April_2017_D8_48,SAMN19067482,C,D8,2017,April,12,0,female,pulex,0,0,0,0
April_2017_D8_55,SAMN19067483,R,D8,2017,April,13,0,female,pulex,0,0,0,0
April_2017_D8_58,SAMN19067484,C,D8,2017,April,13,0,female,pulex,0,0,0,0
April_2017_D8_60,SAMN19067485,A,D8,2017,April,6,0,female,pulex,0,0,0,0
April_2017_D8_65,SAMN19067486,A,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_73,SAMN19067487,A,D8,2017,April,14,0,female,pulex,0,0,0,0
April_2017_D8_77,SAMN19067488,A,D8,2017,April,18,0,female,pulex,0,0,0,0
April_2017_D8_79,SAMN19067489,C,D8,2017,April,12,0,female,pulex,0,0,0,0
April_2017_D8_9,SAMN19067490,R,D8,2017,April,12,0,female,pulex,0,0,0,0
April_2017_D8_91,SAMN19067491,C,D8,2017,April,19,0,female,pulex,0,0,0,0
April_2017_Dbarb_11,SAMN18938157,G,Dbarb,2017,April,13,0,female,obtusa,0,0,0,0
April_2017_DBunk_103,SAMN19067492,OO,DBunk,2017,April,13,0,female,pulex,0,0,0,0
April_2017_DBunk_108,SAMN19067493,L,DBunk,2017,April,20,0,female,pulex,0,0,0,0
April_2017_DBunk_11,SAMN19067494,K,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_111,SAMN19067495,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_112,SAMN19067496,M,DBunk,2017,April,21,0,female,pulex,0,0,0,0
April_2017_DBunk_119,SAMN19067497,AD,DBunk,2017,April,12,0,female,pulex,0,0,0,0
April_2017_DBunk_121,SAMN19067498,OO,DBunk,2017,April,11,0,female,pulex,0,0,0,0
April_2017_DBunk_128,SAMN19067499,OO,DBunk,2017,April,14,0,female,pulex,0,0,0,0
April_2017_DBunk_129,SAMN19067500,OO,DBunk,2017,April,32,0,female,pulex,0,0,0,0
April_2017_DBunk_13,SAMN19067501,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_131,SAMN19067502,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
April_2017_DBunk_132,SAMN19067503,OO,DBunk,2017,April,24,0,female,pulex,0,0,0,0
April_2017_DBunk_133,SAMN19067504,OO,DBunk,2017,April,8,0,female,pulex,0,0,0,0
April_2017_DBunk_137,SAMN19067505,OO,DBunk,2017,April,21,0,female,pulex,0,0,0,0
April_2017_DBunk_139,SAMN19067506,OO,DBunk,2017,April,31,0,female,pulex,0,0,0,0
April_2017_DBunk_142,SAMN19067507,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_145,SAMN19067508,K,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_147,SAMN19067509,E,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_148,SAMN19067510,E,DBunk,2017,April,16,0,female,pulex,0,0,0,0
April_2017_DBunk_149,SAMN19067511,L,DBunk,2017,April,13,0,female,pulex,0,0,0,0
April_2017_DBunk_151,SAMN19067512,L,DBunk,2017,April,8,0,female,pulex,0,0,0,0
April_2017_DBunk_152,SAMN19067513,OO,DBunk,2017,April,27,0,female,pulex,0,0,0,0
April_2017_DBunk_153,SAMN19067514,E,DBunk,2017,April,20,0,female,pulex,0,0,0,0
April_2017_DBunk_154,SAMN19067515,E,DBunk,2017,April,12,0,female,pulex,0,0,0,0
April_2017_DBunk_160,SAMN19067516,OO,DBunk,2017,April,10,0,female,pulex,0,0,0,0
April_2017_DBunk_162,SAMN19067517,F,DBunk,2017,April,20,0,female,pulex,0,0,0,0
April_2017_DBunk_185,SAMN19067518,OO,DBunk,2017,April,9,0,female,pulex,0,0,0,0
April_2017_DBunk_19,SAMN19067519,F,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_203,SAMN19067520,OO,DBunk,2017,April,8,0,female,pulex,0,0,0,0
April_2017_DBunk_21,SAMN19067521,Y,DBunk,2017,April,15,0,female,pulex,0,0,0,0
April_2017_DBunk_213,SAMN19067522,OO,DBunk,2017,April,13,0,female,pulex,0,0,0,0
April_2017_DBunk_23,SAMN19067523,M,DBunk,2017,April,1,0,female,pulex,0,0,0,1
April_2017_DBunk_230,SAMN19067524,F,DBunk,2017,April,13,0,female,pulex,0,0,0,0
April_2017_DBunk_232,SAMN19067525,OO,DBunk,2017,April,14,0,female,pulex,0,0,0,0
April_2017_DBunk_233,SAMN19067526,Y,DBunk,2017,April,16,0,female,pulex,0,0,0,0
April_2017_DBunk_237,SAMN19067527,F,DBunk,2017,April,19,0,female,pulex,0,0,0,0
April_2017_DBunk_248,SAMN19067528,AE,DBunk,2017,April,20,0,female,pulex,0,0,0,0
April_2017_DBunk_253,SAMN19067529,L,DBunk,2017,April,7,0,female,pulex,0,0,0,0
April_2017_DBunk_254,SAMN19067530,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_26,SAMN19067531,A,DBunk,2017,April,11,0,female,pulex,0,0,0,0
April_2017_DBunk_263,SAMN19067532,F,DBunk,2017,April,12,0,female,pulex,0,0,0,0
April_2017_DBunk_266,SAMN19067533,M,DBunk,2017,April,18,0,female,pulex,0,0,0,0
April_2017_DBunk_268,SAMN19067534,AE,DBunk,2017,April,10,0,female,pulex,0,0,0,0
April_2017_DBunk_27,SAMN19067535,M,DBunk,2017,April,11,0,female,pulex,0,0,0,0
April_2017_DBunk_28,SAMN19067536,M,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_297,SAMN19067537,OO,DBunk,2017,April,16,0,female,pulex,0,0,0,0
April_2017_DBunk_3,SAMN19067538,OO,DBunk,2017,April,18,0,female,pulex,0,0,0,0
April_2017_DBunk_302,SAMN19067539,OO,DBunk,2017,April,17,0,female,pulex,0,0,0,0
April_2017_DBunk_314,SAMN19067540,L,DBunk,2017,April,8,0,female,pulex,0,0,0,0
April_2017_DBunk_36,SAMN19067541,OO,DBunk,2017,April,18,0,female,pulex,0,0,0,0
April_2017_DBunk_38,SAMN19067542,M,DBunk,2017,April,7,0,female,pulex,0,0,0,0
April_2017_DBunk_45,SAMN19067543,F,DBunk,2017,April,14,0,female,pulex,0,0,0,0
April_2017_DBunk_5,SAMN19067544,OO,DBunk,2017,April,14,0,female,pulex,0,0,0,0
April_2017_DBunk_50,SAMN19067545,K,DBunk,2017,April,12,0,female,pulex,0,0,0,0
April_2017_DBunk_52,SAMN19067546,K,DBunk,2017,April,13,0,female,pulex,0,0,0,0
April_2017_DBunk_6,SAMN19067547,L,DBunk,2017,April,36,0,female,pulex,0,0,0,0
April_2017_DBunk_63,SAMN19067548,OO,DBunk,2017,April,19,0,female,pulex,0,0,0,0
April_2017_DBunk_65,SAMN19067549,K,DBunk,2017,April,20,0,female,pulex,0,0,0,0
April_2017_DBunk_7,SAMN19067550,F,DBunk,2017,April,18,0,female,pulex,0,0,0,0
April_2017_DBunk_71,SAMN19067551,F,DBunk,2017,April,13,0,female,pulex,0,0,0,0
April_2017_DBunk_76,SAMN19067552,OO,DBunk,2017,April,10,0,female,pulex,0,0,0,0
