Clone	Date_Mortality	TossedMarch2nd	AliveMarch72018	Date Arrived	DaystoMortality	Season
D8_128	4/24/17			4/17/17	7	April
D8_129	4/24/17			4/17/17	7	April
D8_138	4/24/17			4/17/17	7	April
D8_146	4/24/17			4/17/17	7	April
D8_148	4/24/17			4/17/17	7	April
D8_15	4/24/17			4/17/17	7	April
D8_207	4/24/17			4/17/17	7	April
D8_221	4/24/17			4/17/17	7	April
D8_231	4/24/17			4/17/17	7	April
D8_266	4/24/17			4/17/17	7	April
D8_274	4/24/17			4/17/17	7	April
D8_283	4/24/17			4/17/17	7	April
D8_289	4/24/17			4/17/17	7	April
D8_307	4/24/17			4/17/17	7	April
D8_313	4/24/17			4/17/17	7	April
D8_337	4/24/17			4/17/17	7	April
D8_344	4/24/17			4/17/17	7	April
D8_347	4/24/17			4/17/17	7	April
D8_353	4/24/17			4/17/17	7	April
D8_358	4/24/17			4/17/17	7	April
D8_369	4/24/17			4/17/17	7	April
D8_375	4/24/17			4/17/17	7	April
D8_57	4/24/17			4/17/17	7	April
D8_95	4/24/17			4/17/17	7	April
D8_501	5/2/17			5/1/17	1	May
D8_505	5/2/17			5/1/17	1	May
D8_528	5/2/17			5/1/17	1	May
D8_531	5/2/17			5/1/17	1	May
D8_547	5/2/17			5/1/17	1	May
D8_559	5/2/17			5/1/17	1	May
D8_565	5/2/17			5/1/17	1	May
D8_566	5/2/17			5/1/17	1	May
D8_567	5/2/17			5/1/17	1	May
D8_570	5/2/17			5/1/17	1	May
D8_571	5/2/17			5/1/17	1	May
D8_573	5/2/17			5/1/17	1	May
D8_575	5/2/17			5/1/17	1	May
D8_577	5/2/17			5/1/17	1	May
D8_579	5/2/17			5/1/17	1	May
D8_585	5/2/17			5/1/17	1	May
D8_602	5/2/17			5/1/17	1	May
D8_603	5/2/17			5/1/17	1	May
D8_608	5/2/17			5/1/17	1	May
D8_611	5/2/17			5/1/17	1	May
D8_617	5/2/17			5/1/17	1	May
D8_619	5/2/17			5/1/17	1	May
D8_620	5/2/17			5/1/17	1	May
D8_625	5/2/17			5/1/17	1	May
D8_627	5/2/17			5/1/17	1	May
D8_633	5/2/17			5/1/17	1	May
D8_638	5/2/17			5/1/17	1	May
D8_643	5/2/17			5/1/17	1	May
D8_655	5/2/17			5/1/17	1	May
D8_658	5/2/17			5/1/17	1	May
