Date,SC,Clone,Replicate,Week,MomPE_5,MomPE_10,MomPE_15,MomPE_20,Barren,MomwEpp,Neonates,JuvMale,AdMale,TotalInd,CumInd,LooseEpp,PropPE,PropTotMale,PropMomEpp,EppinPlate,Dissect0,Dissect1,Dissect2,LooseDissectTotal,LooseDissectEmbryosTotal,EmbryosperEpp,LooseEppTotal,CumLooseEpp,EstimatedEmbryosTot,CumEstEmbryo,Notes
4/17/19,AB,AxB,1,1,,,,,2,,1,,,3,3,1,0,0,0,,,,,,,,1,1,,,
4/24/19,AB,AxB,1,2,,1,,,5,,4,,,10,13,,0.1,0,0,,,,,,,,0,1,,,Moms were observed in all tanks
5/1/19,AB,AxB,1,3,3,5,2,,4,,9,1,,24,37,,0.416666667,0.041666667,0,,,,,,,,0,1,,,Moms were observed in all tanks
5/8/19,AB,AxB,1,4,2,8,1,1,99,4,73,24,7,219,256,,0.054794521,0.141552511,0.01826484,13,8,1,4,13,9,0.692307692,26,27,18,18,5 empty ephippia dissected from moms that appeared to be dead and were pulled from the tank (turned out they were not all dead)
5/15/19,AB,AxB,1,5,1,,,,144,6,38,15,8,212,468,3,0.004716981,0.108490566,0.028301887,41,7,6,31,44,68,1.545454545,88,115,136,154,
5/22/19,AB,AxB,1,6,3,,,,100,8,8,2,13,134,602,3,0.02238806,0.111940299,0.059701493,52,7,3,16,26,35,1.346153846,81,196,109.0384615,263.0384615,
5/29/19,AB,AxB,1,7,,,,,,,,,,,,,,,,36,5,3,9,17,21,1.235294118,53,249,65.47058824,328.5090498,
4/17/19,AB,AxB,2,1,,,,,4,1,2,,,7,7,1,0,0,0.142857143,,,,,,,,1,1,,,
4/24/19,AB,AxB,2,2,2,,,,4,,8,,,14,21,,0.142857143,0,0,,,,,,,,0,1,,,Moms were observed in all tanks
5/1/19,AB,AxB,2,3,2,1,,,2,,11,,,16,37,,0.1875,0,0,,,,,,,,0,1,,,Moms were observed in all tanks
5/8/19,AB,AxB,2,4,4,5,1,1,80,1,84,11,3,190,227,,0.057894737,0.073684211,0.005263158,6,3,0,4,7,8,1.142857143,13,14,14.85714286,14.85714286,
5/15/19,AB,AxB,2,5,2,,,,124,4,31,9,5,175,402,1,0.011428571,0.08,0.022857143,105,16,6,48,70,102,1.457142857,176,190,256.4571429,271.3142857,
5/22/19,AB,AxB,2,6,3,,,,97,7,21,3,12,143,545,5,0.020979021,0.104895105,0.048951049,15,6,10,2,18,14,0.777777778,38,228,29.55555556,300.8698413,
5/29/19,AB,AxB,2,7,,,,,,,,,,,,,,,,127,18,5,21,44,47,1.068181818,171,399,182.6590909,483.5289322,
4/17/19,AB,AxB,3,1,3,,,,3,,2,,,8,8,1,0.375,0,0,,,,,,,,1,1,,,
4/24/19,AB,AxB,3,2,,,,,5,,2,,,7,15,,0,0,0,,,,,,,,0,1,,,Moms were observed in all tanks
5/1/19,AB,AxB,3,3,1,,,,1,,2,,,4,19,,0.25,0,0,,,,,,,,0,1,,,Moms were observed in all tanks
5/8/19,AB,AxB,3,4,5,2,,,25,,17,1,,50,69,,0.14,0.02,0,,,,,0,0,,0,1,0,0,
5/15/19,AB,AxB,3,5,16,,,,73,1,40,4,2,136,205,,0.117647059,0.044117647,0.007352941,0,5,1,0,6,1,0.166666667,6,7,1,1,
5/22/19,AB,AxB,3,6,,,,,,,,,,,,,,,,5,5,0,0,5,0,0,10,17,0,1,
5/29/19,AB,AxB,3,7,,,,,,,,,,,,,,,,0,,,,,,,0,17,,,
4/17/19,AB,AxB,4,1,2,,,,2,1,,,,5,5,1,0.4,0,0.2,,,,,,,,1,1,,,
4/24/19,AB,AxB,4,2,,,,,3,,5,,,8,13,1,0,0,0,,,,,,,,1,2,,,Moms were observed in all tanks
5/1/19,AB,AxB,4,3,1,4,,,8,,2,,1,16,29,,0.3125,0.0625,0,,,,,,,,0,2,,,Moms were observed in all tanks
5/8/19,AB,AxB,4,4,5,9,2,,89,1,79,6,4,195,224,,0.082051282,0.051282051,0.005128205,15,2,1,13,16,27,1.6875,31,33,52.3125,52.3125,
5/15/19,AB,AxB,4,5,0,,,,143,3,49,6,13,214,438,,0,0.088785047,0.014018692,91,18,10,23,51,56,1.098039216,142,175,155.9215686,208.2340686,
5/22/19,AB,AxB,4,6,8,,,,164,2,18,4,13,209,647,0,0.038277512,0.081339713,0.009569378,10,6,2,3,11,8,0.727272727,21,196,15.27272727,223.5067959,
5/29/19,AB,AxB,4,7,,,,,,,,,,,,,,,,84,11,4,13,28,30,1.071428571,112,308,120,343.5067959,
4/17/19,A ,D8179,1,1,2,,,,2,,1,,,5,5,2,0.4,0,0,,,,,,,,2,2,,,
4/24/19,A ,D8179,1,2,3,,,,4,,9,,,16,21,1,0.1875,0,0,,,,,,,,1,3,,,Moms were observed in all tanks
