Clone,Replicate,Parth_eggs,Epp_eggs,Barren,Neos,Males,Total,MomsRemoved,NewTotal,NewTotalMoms,Males_similar_sizes,Males_similar_sizes_to_females
AxB_R1_136_A,1,6,0,53,140,0,199,3,202,62,NA,NA
AxB_R1_136_A,2,7,0,35,117,0,159,3,162,45,NA,NA
AxB_R1_188_A,1,2,0,25,22,6,55,0,55,27,no,yes
AxB_R1_P110_A,1,0,0,60,19,3,82,3,85,63,yes (all larger),
AxB_R1_P110_A,2,1,0,59,32,0,92,3,95,63,NA,NA
AxB_R1_P50_A,1,7,0,55,141,1,204,3,207,65,1 adult male,
AxB_R1_P50_A,2,4,0,76,110,0,190,3,193,83,NA,NA
AxB_R1_P50_A,3,5,0,61,90,0,156,3,159,69,NA,NA
AxB_R1_P56_A,1,2,0,46,150,2,200,3,203,51,2 adult males,
AxB_R1_P56_A,2,4,0,38,102,4,148,3,151,45,no,yes
AxB_R1_P56_A,3,4,0,42,118,2,166,3,169,49,2 adult males,
AxB_R1_P87_B,1,10,0,34,107,0,151,3,154,47,NA,NA
AxB_R1_P87_B,3,5,0,57,96,6,164,3,167,65,no,yes
AxB_R1_P87_B,Old B,2,0,49,114,0,165,3,168,54,NA,NA
AxB_R2_P102_A,1,5,1,44,33,2,85,3,88,53,yes (all larger),
AxB_R2_P103_B,1,0,0,2,34,0,36,0,36,2,NA,NA
AxB_R2_P103_B,2,2,0,41,69,2,114,3,117,46,yes (all smaller),
AxB_R2_P107_A,1,2,2,59,23,1,87,3,90,66,1 adult male,
AxB_R2_P150_B,1,0,1,33,64,11,109,3,112,37,no,yes
AxB_R2_P176_A,1,6,0,58,93,3,160,3,163,67,no,yes
AxB_R2_P176_A,2,6,0,54,100,2,162,3,165,63,2 adult males,
AxB_R2_P192_B,2,3,0,25,86,21,135,3,138,31,no (most larger),yes
AxB_R2_P203_A,1,1,0,49,87,5,142,3,145,53,yes (all larger),no
AxB_R2_P203_A,2,1,0,54,96,1,152,3,155,58,1 adult male,
AxB_R2_P227_A,2,5,0,28,89,1,123,3,126,36,1 adult male,
AxB_R2_P30_A,1,1,0,42,47,17,107,3,110,46,no,yes
AxB_R2_P378_A,1,2,0,42,11,11,66,3,69,47,no,yes
AxB_R2_P52_B,1,4,0,56,91,1,152,3,155,63,1 adult male,
AxB_R2_P52_B,2,8,0,52,92,3,155,3,158,63,no,yes
